Licensee,City,State,Call,Frequency,Channel,Non-Directional?,Class,Status,File Number,Effective Radiated Power (Horizontal),Effective Radiated Power (Vertical),Antenna Height Above Average Terrain (Horizontal),Antenna Height Above Average Terrain (Vertical),Facility ID,lat_d,lat_deg,lat_min,lat_sec,lng_d,lng_deg,lng_min,lng_sec,Antenna Height Above Mean Sea Level (Horizontal),Antenna Height Above Mean Sea Level (Vertical),Antenna ID #,Pattern Rotation,ASRN,Antenna Height Above Ground Level,CDBS ID #
"COX RADIO, INC.                                                             ",JACKSONVILLE             ,FL ,WJGL        ,96.9  MHz ,245,ND  ,C0 ,LIC    ,BMLH   -20130124AAR ,100.   kW ,100.   kW ,309,309,53590,N ,30,16,34,W ,81,33,53,315.   m,315.0  m,-         ,-       ,1020783,306.   m,1538044
FM 97 ASSOCIATES                                                            ,LIHUE                    ,HI ,KFMN        ,96.9  MHz ,245,ND  ,C1 ,LIC    ,BLH    -19880301KC  ,100.   kW ,100.   kW ,122,122,21843,N ,21,59,54,W ,159,25,35,416.   m,416.0  m,-         ,-       ,1022892,105.   m,299522
"DIGITY 3E LICENSE, LLC                                                      ",CLARION                  ,IA ,KIAQ        ,96.9  MHz ,245,ND  ,C1 ,LIC    ,BLH    -19870120KA  ,100.   kW ,100.   kW ,176,176,54641,N ,42,40,18,W ,94,9,11,518.   m,518.0  m,-         ,-       ,-       ,179.   m,96924
"AMERICAN MEDIA INVESTMENTS, INC.                                            ",PITTSBURG                ,KS ,KKOW-FM     ,96.9  MHz ,245,ND  ,C1 ,LIC    ,BLH    -19891207KA  ,100.   kW ,100.   kW ,278,278,1877,N ,37,18,44,W ,94,48,58,552.   m,552.0  m,-         ,-       ,-       ,268.   m,136758
"BRISTOL BROADCASTING COMPANY, INC.                                          ",PADUCAH                  ,KY ,WDDJ        ,96.9  MHz ,245,ND  ,C1 ,LIC    ,BLH    -19980325KF  ,100.   kW ,100.   kW ,237,237,54719,N ,37,2,56,W ,88,36,52,346.   m,346.0  m,-         ,-       ,1048114,236.   m,264362
"CENLA BROADCASTING LICENSING COMPANY, LLC                                   ",ALEXANDRIA               ,LA ,KZMZ        ,96.9  MHz ,245,ND  ,C0 ,LIC    ,BLH    -20060503AAJ ,100.   kW ,100.   kW ,321,321,63199,N ,31,1,59,W ,92,30,8,355.   m,355.0  m,-         ,-       ,1040367,305.   m,1127027
"TOWNSQUARE MEDIA LICENSEE OF PEORIA, INC.                                   ",PRESQUE ISLE             ,ME ,WBPW        ,96.9  MHz ,245,ND  ,C1 ,LIC    ,BMLH   -19991015AAJ ,100.   kW ,100.   kW ,131,131,22184,N ,46,45,52,W ,67,59,23,307.   m,307.0  m,28370,-       ,1022880,109.   m,402042
"LAMKE BROADCASTING, INC.                                                    ",GRAND RAPIDS             ,MN ,KMFY        ,96.9  MHz ,245,ND  ,C1 ,LIC    ,BLH    -19820201AJ  ,100.   kW ,100.   kW ,146,146,34972,N ,47,15,17,W ,93,26,3,551.   m,551.0  m,-         ,-       ,-       ,81.    m,38705
RESONANCE MEDIA GROUP                                                       ,GRAND PORTAGE            ,MN ,NEW         ,96.9  MHz ,245,ND  ,C1 ,CP     ,BNPH   -20130723ABO ,100.   kW ,100.   kW ,273,273,191526,N ,47,58,28,W ,89,45,31,598.   m,598.0  m,-         ,-       ,1215786,74.    m,1563842
CHRISTIAN MEDIA INCORPORATED                                                ,TERRYTOWN                ,NE ,KCMI        ,96.9  MHz ,245,ND  ,C1 ,LIC    ,BLH    -19881221KC  ,100.   kW ,100.   kW ,211,211,11069,N ,41,42,8,W ,103,41,0,1521.  m,1521.0 m,-         ,-       ,-       ,77.    m,121994
"DIGITY 3E LICENSE, LLC                                                      ",SEWARD                   ,NE ,KZKX        ,96.9  MHz ,245,ND  ,C1 ,LIC    ,BLH    -7204        ,100.   kW ,100.   kW ,177,177,53143,N ,41,7,26,W ,96,50,3,605.   m,605.0  m,-         ,-       ,-       ,149.   m,300014
CAPSTAR TX LLC                                                              ,FARMINGTON               ,NM ,KDAG        ,96.9  MHz ,245,ND  ,C0 ,LIC    ,BLH    -20060309AED ,100.   kW ,100.   kW ,303,303,29519,N ,36,48,52,W ,107,53,32,2129.  m,2129.0 m,-         ,-       ,1018730,62.    m,1118146
CAPSTAR TX LLC                                                              ,STATESVILLE              ,NC ,WKKT        ,96.9  MHz ,245,DA  ,C  ,LIC    ,BLH    -19860402KB  ,100.   kW ,100.   kW ,472,472,68207,N ,35,31,57,W ,80,47,47,710.   m,710.0  m,13692,0,-       ,463.   m,86984
"NEW AGE COMMUNICATIONS, LTD.                                                ",GOLDSBORO                ,NC ,WWPL        ,96.9  MHz ,245,ND  ,C0 ,LIC    ,BMLH   -20090708AEX ,100.   kW ,100.   kW ,300,300,48369,N ,35,23,52,W ,78,8,7,337.   m,337.0  m,-         ,-       ,1007842,309.   m,1321029
"CHAMPLIN BROADCASTING, INC.                                                 ",ENID                     ,OK ,KQOB        ,96.9  MHz ,245,ND  ,C  ,LIC    ,BLH    -20071115ACM ,100.   kW ,100.   kW ,451,451,10857,N ,35,58,50,W ,97,41,42,774.   m,774.0  m,-         ,-       ,1029366,426.   m,1219880
"RADIO LICENSE HOLDING CBC, LLC                                              ",CHARLESTON               ,SC ,WIWF        ,96.9  MHz ,245,DA  ,C  ,LIC    ,BLH    -19860905KA  ,100.   kW ,100.   kW ,539,539,60039,N ,32,55,28,W ,79,41,58,543.   m,543.0  m,13718,0,-       ,538.   m,91930
"DIGITY 3E LICENSE, LLC                                                      ",WATERTOWN                ,SD ,KDLO-FM     ,96.9  MHz ,245,ND  ,C  ,LIC    ,BLH    -19790226AB  ,100.   kW ,100.   kW ,479,479,60865,N ,44,57,57,W ,97,35,22,1030.  m,1030.0 m,-         ,-       ,-       ,467.   m,8314
"WORLD RADIO NETWORK, INC.                                                   ",MCALLEN                  ,TX ,KVMV        ,96.9  MHz ,245,ND  ,C  ,LIC    ,BMLED  -19941011KC  ,100.   kW ,100.   kW ,350,350,73749,N ,26,4,53,W ,97,49,44,367.   m,367.0  m,-         ,-       ,1046017,349.   m,203147
"BRAZOS COMMUNICATIONS WEST, LLC                                             ",ODESSA                   ,TX ,KMCM        ,96.9  MHz ,245,ND  ,C1 ,LIC    ,BLH    -20060613ACA ,100.   kW ,100.   kW ,137.7,137.7,65306,N ,32,5,8,W ,102,17,11,1025.  m,1025.0 m,-         ,-       ,1050126,137.8  m,1132915
TACKETT-BOAZMAN BROADCASTING LP                                             ,BROWNWOOD                ,TX ,KQBZ        ,96.9  MHz ,245,ND  ,C1 ,LIC    ,BLH    -20060920AAJ ,100.   kW ,100.   kW ,100.9,100.9,71106,N ,31,42,16,W ,99,0,5,551.4  m,551.4  m,-         ,-       ,1063741,106.7  m,1149639
"TOWNSQUARE MEDIA AMARILLO LICENSE, LLC                                      ",AMARILLO                 ,TX ,KXSS-FM     ,96.9  MHz ,245,ND  ,C1 ,LIC    ,BMLH   -20130118AAP ,100.   kW ,100.   kW ,187,187,9306,N ,35,17,33,W ,101,50,48,1242.  m,1242.0 m,-         ,-       ,1044674,153.   m,1538124
KSBJ EDUCATIONAL FOUNDATION                                                 ,EL CAMPO                 ,TX ,KXBJ        ,96.9  MHz ,245,ND  ,C0 ,LIC    ,BMLED  -20130717AIL ,100.   kW ,100.   kW ,450,450,36507,N ,28,48,0.1,W ,96,7,32.9,457.   m,457.0  m,-         ,-       ,1243719,449.   m,1562130
"COX RADIO, INC.                                                             ",GAINESVILLE              ,GA ,WSRV        ,97.1  MHz ,246,ND  ,C  ,LIC    ,BLH    -19980825KB  ,100.   kW ,100.   kW ,483,483,59970,N ,34,7,32,W ,83,51,32,797.   m,797.0  m,-         ,-       ,1019528,526.   m,273169
"COX RADIO, INC.                                                             ",GAINESVILLE              ,GA ,WSRV        ,97.1  MHz ,246,ND  ,C1 ,CP     ,BPH    -20070118ACV ,100.   kW ,100.   kW ,212,212,59970,N ,34,8,34,W ,84,0,11,548.   m,548.0  m,-         ,-       ,1000743,181.   m,1543932
"ENTERCOM NEW ORLEANS LICENSE, LLC                                           ",NEW ORLEANS              ,LA ,WEZB        ,97.1  MHz ,246,ND  ,C0 ,LIC    ,BMLH   -20031124APH ,100.   kW ,100.   kW ,300,300,20346,N ,29,55,11,W ,90,1,29,300.   m,300.0  m,-         ,-       ,1020780,300.   m,981718
"LAKES RADIO, INC.                                                           ",ESCANABA                 ,MI ,WGLQ        ,97.1  MHz ,246,ND  ,C0 ,LIC    ,BLH    -19820713AB  ,100.   kW ,100.   kW ,326,326,47120,N ,46,8,4,W ,86,56,52,577.   m,577.0  m,-         ,-       ,1007037,326.   m,44877
"AMFM BROADCASTING LICENSES, LLC                                             ",MINNEAPOLIS              ,MN ,KTCZ-FM     ,97.1  MHz ,246,ND  ,C  ,LIC    ,BLH    -19910814KC  ,100.   kW ,100.   kW ,315,315,10142,N ,45,3,30,W ,93,7,27,593.   m,593.0  m,-         ,-       ,-       ,316.   m,163920
"LEIGHTON ENTERPRISES, INC.                                                  ",CROOKSTON                ,MN ,KYCK        ,97.1  MHz ,246,ND  ,C1 ,LIC    ,BLH    -20060406ACA ,100.   kW ,100.   kW ,113.4,113.4,62059,N ,47,49,20,W ,96,49,13,369.4  m,369.4  m,-         ,-       ,1062816,111.2  m,1118398
"MISSISSIPPI BROADCASTERS, LLC                                               ",MERIDIAN                 ,MS ,WOKK        ,97.1  MHz ,246,ND  ,C1 ,LIC    ,BLH    -19940207KC  ,100.   kW ,100.   kW ,183,183,48635,N ,32,19,30,W ,88,41,17,308.   m,308.0  m,-         ,-       ,1039770,113.   m,194731
"EMMIS RADIO LICENSE, LLC                                                    ",FLORISSANT               ,MO ,KFTK        ,97.1  MHz ,246,ND  ,C1 ,LIC    ,BLH    -19851127KC  ,100.   kW ,100.   kW ,171,171,73890,N ,38,46,45,W ,90,43,43,334.   m,334.0  m,-         ,-       ,-       ,140.   m,83788
"EAGLE COMMUNICATIONS, INC.                                                  ",NORTH PLATTE             ,NE ,KELN        ,97.1  MHz ,246,ND  ,C1 ,LIC    ,BLH    -19790315AF  ,100.   kW ,100.   kW ,140,140,69699,N ,41,14,20,W ,100,41,43,1048.  m,1048.0 m,-         ,-       ,-       ,109.   m,8562
"MAJESTIC BROADCASTING, LLC                                                  ",ROSWELL                  ,NM ,KBCQ-FM     ,97.1  MHz ,246,ND  ,C1 ,LIC    ,BLH    -19851224KD  ,100.   kW ,100.   kW ,110,110,57722,N ,33,24,5,W ,104,22,45,1203.  m,1203.0 m,-         ,-       ,-       ,60.    m,84496
"ENTERCOM LICENSE, LLC                                                       ",GREENSBORO               ,NC ,WQMG        ,97.1  MHz ,246,DA  ,C0 ,LIC    ,BLH    -20031112AID ,100.   kW ,100.   kW ,327,327,47078,N ,35,56,42,W ,79,51,45,565.   m,565.0  m,64070,0,1006345,335.   m,700856
"CC LICENSES, LLC                                                            ",MINOT                    ,ND ,KYYX        ,97.1  MHz ,246,ND  ,C  ,LIC    ,BLH    -19880919KB  ,100.   kW ,100.   kW ,300,300,55680,N ,48,3,2,W ,101,20,29,904.   m,904.0  m,-         ,-       ,-       ,271.   m,118188
"KMMY, INC.                                                                  ",MUSKOGEE                 ,OK ,KYAL-FM     ,97.1  MHz ,246,ND  ,C  ,LIC    ,BLH    -20080724ABI ,100.   kW ,100.   kW ,600,600,35141,N ,35,24,48,W ,95,21,55,794.   m,794.0  m,-         ,-       ,1255638,568.   m,1258706
"ENTERCOM LICENSE, LLC                                                       ",PORTLAND                 ,OR ,KYCH-FM     ,97.1  MHz ,246,ND  ,C  ,LIC    ,BLH    -19900821KA  ,100.   kW ,100.   kW ,386,386,35034,N ,45,29,20,W ,122,41,40,480.   m,480.0  m,-         ,-       ,-       ,170.   m,151774
SOUTH DAKOTA BOARD OF DIRECTORS FOR ED. TELECOMMUNICATIONS                  ,FAITH                    ,SD ,KPSD-FM     ,97.1  MHz ,246,ND  ,C  ,LIC    ,BLED   -19890616KA  ,100.   kW ,100.   kW ,465,465,62385,N ,45,3,14,W ,102,15,47,1249.  m,1249.0 m,-         ,-       ,1041089,452.   m,130131
"CC LICENSES, LLC                                                            ",MEMPHIS                  ,TN ,WHRK        ,97.1  MHz ,246,ND  ,C1 ,LIC    ,BLH    -5591        ,100.   kW ,100.   kW ,162,162,54916,N ,35,13,23,W ,90,2,33,238.   m,238.0  m,-         ,-       ,-       ,164.   m,290147
"1 CHRONICLES 14, L.P.                                                       ",HASKELL                  ,TX ,KVRP-FM     ,97.1  MHz ,246,ND  ,C1 ,LIC    ,BMLH   -20000823ACT ,100.   kW ,100.   kW ,162,162,57464,N ,33,9,40,W ,99,48,57,643.   m,643.0  m,-         ,-       ,1207765,140.   m,519051
"COX RADIO, INC.                                                             ",CLEVELAND                ,TX ,KTHT        ,97.1  MHz ,246,ND  ,C  ,LIC    ,BLH    -20001031AAA ,100.   kW ,100.   kW ,563,563,65308,N ,30,32,6,W ,95,1,4,609.   m,609.0  m,-         ,-       ,1043703,557.   m,530382
"CITICASTERS LICENSES, INC.                                                  ",FORT WORTH               ,TX ,KEGL        ,97.1  MHz ,246,ND  ,C  ,LIC    ,BMLH   -20081020AOC ,100.   kW ,100.   kW ,508,508,18114,N ,32,35,19,W ,96,58,5,697.   m,697.0  m,-         ,-       ,1045531,453.   m,1274086
"TOWNSQUARE MEDIA TRI-CITIES LICENSE, LLC                                    ",WALLA WALLA              ,WA ,KXRX        ,97.1  MHz ,246,ND  ,C0 ,LIC    ,BLH    -20030908ACK ,100.   kW ,100.   kW ,405,405,16727,N ,45,59,4,W ,118,10,9,1204.  m,1204.0 m,-         ,-       ,-       ,29.    m,684817
"SPARTA-TOMAH BROADCASTING CO., INC.                                         ",SPARTA                   ,WI ,WCOW-FM     ,97.1  MHz ,246,ND  ,C1 ,LIC    ,BLH    -19881215KB  ,100.   kW ,100.   kW ,179,179,61682,N ,43,58,6,W ,90,51,35,465.   m,465.0  m,-         ,-       ,-       ,113.   m,121809
"COX RADIO, INC.                                                             ",MIAMI                    ,FL ,WFLC        ,97.3  MHz ,247,DA  ,C  ,LIC    ,BLH    -20050224ABL ,100.   kW ,100.   kW ,307,307,72984,N ,25,58,2,W ,80,12,34,308.   m,308.0  m,64728,0,1028046,306.   m,1047735
CAPSTAR TX LLC                                                              ,SAVANNAH                 ,GA ,WAEV        ,97.3  MHz ,247,ND  ,C0 ,LIC    ,BLH    -20020604AAW ,100.   kW ,100.   kW ,396,396,50403,N ,32,2,45,W ,81,20,27,402.   m,402.0  m,-         ,-       ,1032657,398.   m,604349
"CC LICENSES, LLC                                                            ",BAINBRIDGE               ,GA ,WGEX        ,97.3  MHz ,247,ND  ,C0 ,LIC    ,BMLH   -20110728ADK ,100.   kW ,100.   kW ,304,304,52402,N ,31,9,12,W ,84,32,38,348.   m,348.0  m,-         ,-       ,1053376,303.   m,1437162
"RIVERBEND COMMUNICATIONS, LLC                                               ",BLACKFOOT                ,ID ,KLCE        ,97.3  MHz ,247,ND  ,C  ,LIC    ,BMLH   -20030825ANI ,100.   kW ,100.   kW ,461,461,71772,N ,43,30,3,W ,112,39,43,2030.  m,2030.0 m,-         ,-       ,-       ,44.    m,681016
KBUF PARTNERSHIP                                                            ,GARDEN CITY              ,KS ,KKJQ        ,97.3  MHz ,247,ND  ,C1 ,LIC    ,BLH    -19840810DA  ,100.   kW ,100.   kW ,244,244,33690,N ,37,46,48,W ,100,27,36,1075.  m,1075.0 m,-         ,-       ,-       ,241.   m,71724
"CLEAR CHANNEL BROADCASTING LICENSES, INC.                                   ",SPRINGFIELD              ,MO ,KXUS        ,97.3  MHz ,247,ND  ,C1 ,LIC    ,BLH    -19930405KE  ,100.   kW ,100.   kW ,177,177,16574,N ,37,11,10,W ,93,1,23,607.   m,607.0  m,-         ,-       ,-       ,168.   m,185183
UNIVISION RADIO LICENSE CORPORATION                                         ,SANTA FE                 ,NM ,KKSS        ,97.3  MHz ,247,ND  ,C  ,LIC    ,BLH    -19850926KA  ,100.   kW ,100.   kW ,572,572,63928,N ,35,46,50,W ,106,31,35,3057.  m,3057.0 m,-         ,-       ,-       ,46.    m,82197
CUMULUS LICENSING LLC                                                       ,WILMINGTON               ,NC ,WMNX        ,97.3  MHz ,247,ND  ,C1 ,LIC    ,BLH    -20090109AVP ,100.   kW ,100.   kW ,269.3,269.3,8584,N ,34,3,6,W ,78,4,57,275.9  m,275.9  m,-         ,-       ,1012337,257.   m,1287046
"TOWNSQUARE MEDIA SIOUX FALLS LICENSE, LLC                                   ",SIOUX FALLS              ,SD ,KMXC        ,97.3  MHz ,247,ND  ,C1 ,LIC    ,BLH    -20121116AJV ,100.   kW ,100.   kW ,259.7,259.7,64711,N ,43,43,46,W ,97,5,14,758.   m,758.0  m,-         ,-       ,1221133,209.4  m,1518311
"CC LICENSES, LLC                                                            ",SAN ANTONIO              ,TX ,KAJA        ,97.3  MHz ,247,ND  ,C0 ,LIC    ,BMLH   -20010412AAK ,100.   kW ,100.   kW ,300,300,11919,N ,29,31,25,W ,98,43,25,612.   m,612.0  m,-         ,-       ,1051212,338.   m,560372
"RAVEN LICENSE SUB, LLC                                                      ",RHINELANDER              ,WI ,WHDG        ,97.3  MHz ,247,ND  ,C1 ,LIC    ,BLH    -20090720AAZ ,100.   kW ,100.   kW ,168,168,55211,N ,45,22,50,W ,89,11,22,664.   m,664.0  m,-         ,-       ,1034854,137.   m,1323684
"LEGEND COMMUNICATIONS OF WYOMING, LLC                                       ",GILLETTE                 ,WY ,KAML-FM     ,97.3  MHz ,247,ND  ,C0 ,LIC    ,BLH    -20081002ADT ,100.   kW ,100.   kW ,334.7,334.7,24211,N ,43,59,57,W ,105,15,15,1761.  m,1761.0 m,-         ,-       ,1257220,335.4  m,1275815
-                                                                           ,MEDICINE HAT             ,AB ,CKUA-3      ,97.3  MHz ,247,ND  ,C  ,OPER   ,-      --           ,100.   kW ,100.   kW ,222,222,95725,N ,49,41,59,W ,110,38,21,0.     m,0.0    m,-         ,-       ,-       ,0.     m,295022
CARIB BROADCASTING                                                          ,BRITISH VIRGIN ISLAN     ,BV ,NEW         ,97.3  MHz ,247,ND  ,C  ,OPER   ,-      --           ,100.   kW ,100.   kW ,488,488,95724,N ,18,25,0,W ,64,39,0,0.     m,0.0    m,-         ,-       ,-       ,0.     m,295019
CARIB BROADCASTING                                                          ,BRITISH VIRGIN ISLAN     ,BV ,NEW         ,97.3  MHz ,247,ND  ,C  ,OPER   ,-      --           ,100.   kW ,100.   kW ,488,488,96020,N ,18,25,0,W ,64,39,0,0.     m,0.0    m,-         ,-       ,-       ,0.     m,298244
CARIB BROADCASTING                                                          ,BRITISH VIRGIN ISLAN     ,BV ,NEW         ,97.3  MHz ,247,ND  ,C  ,OPER   ,-      --           ,100.   kW ,100.   kW ,488,488,106606,N ,18,25,0,W ,64,39,0,0.     m,0.0    m,-         ,-       ,-       ,0.     m,401548
-                                                                           ,ROAD TOWN                ,BV ,-           ,97.3  MHz ,247,ND  ,C  ,USE    ,-      --           ,100.   kW ,100.   kW ,0,0,180996,N ,18,25,0,W ,64,39,0,488.   m,488.0  m,-         ,-       ,-       ,0.     m,1318833
CUMULUS LICENSING LLC                                                       ,MOBILE                   ,AL ,WABD        ,97.5  MHz ,248,ND  ,C  ,LIC    ,BLH    -19890412KB  ,100.   kW ,100.   kW ,473,473,70657,N ,30,41,20,W ,87,49,49,507.   m,507.0  m,-         ,-       ,-       ,455.   m,127623
"US STATIONS, LLC                                                            ",HOT SPRINGS              ,AR ,KQUS-FM     ,97.5  MHz ,248,ND  ,C1 ,LIC    ,BMLH   -20050616AAI ,100.   kW ,100.   kW ,264,264,16572,N ,34,24,13,W ,93,7,14,429.   m,429.0  m,-         ,-       ,1062842,45.    m,1048124
"HALL COMMUNICATIONS, INC.                                                   ",WINTER HAVEN             ,FL ,WPCV        ,97.5  MHz ,248,ND  ,C0 ,LIC    ,BLH    -19890908KA  ,100.   kW ,100.   kW ,310,310,25872,N ,28,7,35,W ,81,33,3,340.   m,340.0  m,-         ,-       ,1017423,314.   m,132867
"EAGLE COMMUNICATIONS, INC.                                                  ",JUNCTION CITY            ,KS ,KJCK-FM     ,97.5  MHz ,248,ND  ,C1 ,LIC    ,BMLH   -20070607ACD ,100.   kW ,100.   kW ,192,192,52799,N ,39,0,53,W ,96,52,12,557.   m,557.0  m,-         ,-       ,1031888,165.   m,1190184
"CC LICENSES, LLC                                                            ",LOUISVILLE               ,KY ,WAMZ        ,97.5  MHz ,248,ND  ,C1 ,LIC    ,BMLH   -20080402AAP ,100.   kW ,100.   kW ,205,205,11921,N ,38,3,50,W ,85,43,52,372.   m,372.0  m,-         ,-       ,1047454,93.    m,1240720
"CC LICENSES, LLC                                                            ",LOUISVILLE               ,KY ,WAMZ        ,97.5  MHz ,248,ND  ,C1 ,CP     ,BPH    -20120419AAB ,100.   kW ,100.   kW ,169,169,11921,N ,38,11,30.8,W ,85,31,21.2,367.   m,367.0  m,-         ,-       ,1045581,139.   m,1514895
UNITED AUDIO                                                                ,ROCHESTER                ,MN ,KNXR        ,97.5  MHz ,248,ND  ,C  ,LIC    ,BLH    -19990505KB  ,100.   kW ,100.   kW ,317,317,68823,N ,44,2,28,W ,92,20,25,671.   m,671.0  m,29709,-       ,1029133,291.   m,284797
DE LA HUNT BROADCASTING CORPORATION                                         ,PARK RAPIDS              ,MN ,KDKK        ,97.5  MHz ,248,ND  ,C1 ,LIC    ,BLH    -20040901AAA ,100.   kW ,100.   kW ,194,194,16433,N ,46,55,51,W ,95,0,27,631.   m,631.0  m,-         ,-       ,1217438,192.   m,1109236
"SAN DOW BROADCASTING, INC.                                                  ",OXFORD                   ,MS ,WWMS        ,97.5  MHz ,248,ND  ,C1 ,LIC    ,BLH    -19850712KC  ,100.   kW ,100.   kW ,299,299,58932,N ,34,10,5,W ,89,9,23,422.   m,422.0  m,-         ,-       ,-       ,261.   m,80048
"REIER BROADCASTING COMPANY, INC.                                            ",LIVINGSTON               ,MT ,KOZB        ,97.5  MHz ,248,ND  ,C1 ,LIC    ,BLH    -19810901AB  ,100.   kW ,100.   kW ,75,75,16777,N ,45,39,26,W ,110,48,22,1930.  m,1930.0 m,-         ,-       ,-       ,33.    m,33646
"EAGLE COMMUNICATIONS, INC.                                                  ",CHADRON                  ,NE ,KQSK        ,97.5  MHz ,248,ND  ,C1 ,LIC    ,BLH    -19790910AA  ,100.   kW ,100.   kW ,256,256,18091,N ,42,38,6,W ,103,6,12,1519.  m,1519.0 m,-         ,-       ,-       ,143.   m,13401
"KEMP BROADCASTING, INC.                                                     ",MESQUITE                 ,NV ,KVEG        ,97.5  MHz ,248,ND  ,C  ,LIC    ,BLH    -20010711AAI ,100.   kW ,100.   kW ,600,600,83278,N ,36,35,6,W ,114,36,1,1203.  m,1203.0 m,-         ,-       ,1061958,385.   m,573342
"TOWNSQUARE MEDIA BISMARCK LICENSE, LLC                                      ",BISMARCK                 ,ND ,KKCT        ,97.5  MHz ,248,ND  ,C1 ,LIC    ,BLH    -20060523ADO ,100.   kW ,100.   kW ,255.2,255.2,31176,N ,46,35,24,W ,100,47,46,834.9  m,834.9  m,-         ,-       ,1040570,160.3  m,1128958
"CLEAR CHANNEL BROADCASTING LICENSES, INC.                                   ",TULSA                    ,OK ,KMOD-FM     ,97.5  MHz ,248,ND  ,C  ,LIC    ,BMLH   -20100901AAC ,100.   kW ,100.   kW ,453,453,11957,N ,36,11,46,W ,96,5,53,687.   m,687.0  m,-         ,-       ,1010549,391.   m,1397603
CAPSTAR TX LLC                                                              ,COLUMBIA                 ,SC ,WCOS-FM     ,97.5  MHz ,248,ND  ,C1 ,LIC    ,BLH    -19900927KC  ,100.   kW ,100.   kW ,299,299,71290,N ,34,8,23,W ,81,3,22,392.   m,392.0  m,-         ,-       ,-       ,243.   m,152734
"MIDWEST COMMUNICATIONS, INC.                                                ",KNOXVILLE                ,TN ,WJXB-FM     ,97.5  MHz ,248,ND  ,C  ,LIC    ,BLH    -19890928KC  ,100.   kW ,100.   kW ,395,395,61040,N ,36,0,36,W ,83,55,57,706.   m,706.0  m,-         ,-       ,-       ,322.   m,133694
"TOWNSQUARE MEDIA SAN ANGELO LICENSE, LLC                                    ",SAN ANGELO               ,TX ,KGKL-FM     ,97.5  MHz ,248,ND  ,C1 ,LIC    ,BLH    -19851101KD  ,100.   kW ,100.   kW ,125,125,34465,N ,31,29,46,W ,100,24,50,705.   m,705.0  m,-         ,-       ,-       ,133.   m,83080
QUALITY BROADCASTING CORPORATION                                            ,KINGSVILLE               ,TX ,KFTX        ,97.5  MHz ,248,DA  ,C1 ,LIC    ,BLH    -19890130KC  ,100.   kW ,100.   kW ,291,291,54036,N ,27,44,28,W ,97,36,8,307.   m,307.0  m,13992,0,1045871,288.   m,123296
CAPSTAR TX LLC                                                              ,WACO                     ,TX ,KWTX-FM     ,97.5  MHz ,248,ND  ,C  ,LIC    ,BLH    -19981125KE  ,100.   kW ,100.   kW ,451,451,35902,N ,31,20,15,W ,97,18,37,651.   m,651.0  m,-         ,-       ,-       ,408.   m,575639
"GOW COMMUNICATIONS, L.L.C.                                                  ",MONT BELVIEU             ,TX ,KFNC        ,97.5  MHz ,248,ND  ,C  ,LIC    ,BLH    -20120716AFA ,100.   kW ,100.   kW ,597.3,597.3,52407,N ,29,41,52,W ,94,24,9,598.   m,598.0  m,-         ,-       ,1213478,595.   m,1507569
"FAMILY WORSHIP CENTER CHURCH, INC.                                          ",AUGUSTA                  ,AR ,KJSM-FM     ,97.7  MHz ,249,ND  ,C1 ,LIC    ,BLED   -20040115ABF ,100.   kW ,100.   kW ,189,189,26390,N ,35,10,36,W ,91,23,49,196.   m,196.0  m,-         ,-       ,1233722,139.   m,1046913
"MAGIC BROADCASTING II, LLC                                                  ",BONIFAY                  ,FL ,WYYX        ,97.7  MHz ,249,ND  ,C1 ,LIC    ,BLH    -19930401KC  ,100.   kW ,100.   kW ,253,253,25412,N ,30,30,41,W ,85,29,24,297.   m,297.0  m,-         ,-       ,-       ,253.   m,184096
"SOUTHERN STONE BROADCASTING, INC.                                           ",LEXINGTON                ,GA ,WMGZ        ,97.7  MHz ,249,ND  ,C1 ,CP     ,BPH    -20070416ACW ,100.   kW ,100.   kW ,154,154,41993,N ,33,51,28,W ,83,5,45,338.   m,338.0  m,-         ,-       ,1039147,139.   m,1560799
"SOUTHERN STONE BROADCASTING, INC.                                           ",LEXINGTON                ,GA ,WMGZ        ,97.7  MHz ,249,ND  ,C1 ,APP    ,BMPH   -20140127AJD ,100.   kW ,100.   kW ,129.5,129.5,41993,N ,33,50,56,W ,82,46,29,282.   m,182.0  m,-         ,-       ,-       ,118.   m,1626596
"COAST RADIO GROUP, INC.                                                     ",DULAC                    ,LA ,KDLC        ,97.7  MHz ,249,ND  ,C1 ,LIC    ,BLH    -20141002AAU ,100.   kW ,100.   kW ,134.4,134.4,189558,N ,29,20,47,W ,90,49,49,134.4  m,134.4  m,-         ,-       ,1260080,133.5  m,1653307
"BENNE BROADCASTING OF SEDALIA, LLC                                          ",LA MONTE                 ,MO ,KPOW-FM     ,97.7  MHz ,249,ND  ,C1 ,LIC    ,BLH    -20021101ABG ,100.   kW ,100.   kW ,299,299,78321,N ,39,3,10,W ,93,16,1,519.9  m,519.9  m,-         ,-       ,1232537,288.3  m,617071
"FLOOD COMMUNICATIONS OF OMAHA, LLC                                          ",NEBRASKA CITY            ,NE ,KBBX-FM     ,97.7  MHz ,249,ND  ,C1 ,LIC    ,BMLH   -20130124AGT ,100.   kW ,100.   kW ,298,298,47957,N ,40,53,27,W ,96,9,11,660.5  m,660.5  m,-         ,-       ,1038353,275.8  m,1538650
