Licensee,City,State,Call,Frequency,Channel,Non-Directional?,Class,Status,File Number,Effective Radiated Power (Horizontal),Effective Radiated Power (Vertical),Antenna Height Above Average Terrain (Horizontal),Antenna Height Above Average Terrain (Vertical),Facility ID,lat_d,lat_deg,lat_min,lat_sec,lng_d,lng_deg,lng_min,lng_sec,Antenna Height Above Mean Sea Level (Horizontal),Antenna Height Above Mean Sea Level (Vertical),Antenna ID #,Pattern Rotation,ASRN,Antenna Height Above Ground Level,CDBS ID #
"SOLMART MEDIA, LLC                                                          ",NOCATEE                  ,FL ,WZSP        ,105.3 MHz ,287,DA  ,A  ,LIC    ,BLH    -19980901KA  ,4.1    kW ,4.1    kW ,122,122,85759,N ,27,11,1,W ,81,56,57,131.   m,131.0  m,15602,0,1027572,117.   m,273447
"DEVON BROADCASTING COMPANY, INC.                                            ",CAMPTON                  ,NH ,WLKC        ,105.7 MHz ,289,DA  ,A  ,LIC    ,BLH    -20061012ABU ,4.1    kW ,4.1    kW ,119,119,72211,N ,43,45,45,W ,71,39,0,412.   m,412.0  m,71222,0,1055700,95.    m,1154575
CBS RADIO HOLDINGS CORPORATION OF ORLANDO                                   ,ELMWOOD PARK             ,IL ,WCFS-FM     ,105.9 MHz ,290,ND  ,B  ,LIC    ,BMLH   -20011101AAC ,4.1    kW ,4.1    kW ,482,482,71283,N ,41,52,44,W ,87,38,8,661.   m,661.0  m,-         ,-       ,1032960,480.   m,585654
"DONTRON, INC.                                                               ",LANSING                  ,IL ,WSRB        ,106.3 MHz ,292,DA  ,A  ,LIC    ,BLH    -20031219AAA ,4.1    kW ,4.1    kW ,121,121,6590,N ,41,34,44,W ,87,32,47,309.   m,309.0  m,64280,0,1011693,126.   m,921085
"LIVINGSTONE BROADCASTING, INC.                                              ",HAMPTON BAYS             ,NY ,WLIR-FM     ,107.1 MHz ,296,DA  ,A  ,LIC    ,BLH    -20070719AEB ,4.1    kW ,4.1    kW ,121,121,61089,N ,40,53,7,W ,72,41,33.6,134.   m,134.0  m,69449,0,1007270,80.    m,1195342
"LIBERTY UNIVERSITY, INC.                                                    ",ENFIELD                  ,NC ,WVRA        ,107.3 MHz ,297,ND  ,A  ,LIC    ,BMLED  -20120110AAE ,4.1    kW ,4.1    kW ,85,85,164202,N ,36,9,59,W ,77,46,46,127.   m,127.0  m,-         ,-       ,1252277,90.    m,1488757
"JODESHA BROADCASTING, INC.                                                  ",COSMOPOLIS               ,WA ,KANY        ,107.3 MHz ,297,ND  ,A  ,LIC    ,BLH    -20140502ABV ,4.1    kW ,4.1    kW ,122,122,166011,N ,46,56,0,W ,123,43,57,208.   m,208.0  m,-         ,-       ,-       ,43.    m,1653376
"COMMITTEE FOR THE RESCUE AND DEVELOPMENT OF VIEQUES, INC.                   ",VIEQUES                  ,PR ,WVQR        ,90.1  MHz ,211,DA  ,A  ,LIC    ,BLED   -20130701AAD ,4.1    kW ,2.8    kW ,168,168,173470,N ,18,19,19,W ,65,17,59,169.   m,169.0  m,113493,0,1223162,52.    m,1561068
-                                                                           ,MONCLOVA                 ,CI ,XHMCLFM     ,104.1 MHz ,281,ND  ,B  ,OPER   ,-      --           ,4.06   kW ,0.     kW ,-76,0,94394,N ,26,54,14,W ,101,25,8,0.     m,0.0    m,-         ,-       ,-       ,0.     m,289089
VERMONT PUBLIC RADIO                                                        ,RUTLAND                  ,VT ,WRVT        ,88.7  MHz ,204,DA  ,C2 ,LIC    ,BLED   -20101206ACJ ,4.     kW ,4.8    kW ,412,412,69953,N ,43,39,31,W ,73,6,25,663.   m,663.0  m,96884,0,1210439,61.    m,1411067
"ALL CLASSICAL PUBLIC MEDIA, INC.                                            ",THE DALLES               ,OR ,KQHR        ,88.1  MHz ,201,DA  ,C2 ,LIC    ,BLED   -20120315ADV ,4.     kW ,4.     kW ,340,340,175508,N ,45,43,19,W ,121,26,14,698.   m,698.0  m,108331,0,-       ,12.    m,1486730
THE WHEELER SCHOOL                                                          ,PROVIDENCE               ,RI ,WELH        ,88.1  MHz ,201,DA  ,A  ,LIC    ,BLED   -20101015ACD ,4.     kW ,4.     kW ,41,41,66656,N ,41,51,26.7,W ,71,19,5.6,71.6   m,71.6   m,95767,0,-       ,39.6   m,1403144
-                                                                           ,TORONTO                  ,ON ,NEW         ,88.1  MHz ,201,DA  ,B  ,VAC    ,-      -20120320CA2 ,4.     kW ,4.     kW ,265.8,265.8,190330,N ,43,38,56,W ,79,22,54,383.2  m,383.2  m,108917,0,-       ,0.     m,1494193
-                                                                           ,TORONTO                  ,ON ,CIND-FM     ,88.1  MHz ,201,DA  ,B  ,PROPN  ,-      -20130722CA1 ,4.     kW ,4.     kW ,281,281,191885,N ,43,38,56,W ,79,22,54,389.   m,389.0  m,115106,0,-       ,0.     m,1566956
MILES CITY SEVENTH-DAY ADVENTIST CHURCH                                     ,MILES CITY               ,MT ,KQQM        ,88.3  MHz ,202,ND  ,C3 ,LIC    ,BLED   -20130329AQJ ,4.     kW ,4.     kW ,170,170,176165,N ,46,24,30,W ,105,39,48,1008.  m,1008.0 m,-         ,-       ,-       ,42.    m,1548998
BALDWIN WALLACE UNIVERSITY                                                  ,BEREA                    ,OH ,WBWC        ,88.3  MHz ,202,DA  ,A  ,LIC    ,BLED   -20001215AAR ,4.     kW ,4.     kW ,78,78,3638,N ,41,25,5,W ,81,54,3,295.   m,295.0  m,14875,0,1212019,65.    m,541640
"HISPANIC OUTREACH MINISTRY, INC.                                            ",BARSTOW                  ,TX ,NEW         ,88.3  MHz ,202,ND  ,A  ,APP    ,BNPED  -20071022AST ,4.     kW ,4.     kW ,-12.9,-12.9,176811,N ,31,36,8.52,W ,103,16,25.59,913.   m,913.0  m,-         ,-       ,1005321,70.    m,1215202
THE MOODY BIBLE INSTITUTE OF CHICAGO                                        ,MOSES LAKE               ,WA ,KMLW        ,88.3  MHz ,202,ND  ,C3 ,LIC    ,BLED   -19970512KC  ,4.     kW ,4.     kW ,207,207,43702,N ,46,56,31,W ,119,25,41,527.   m,527.0  m,-         ,-       ,-       ,23.    m,246019
"BOULDER COMMUNITY BROADCAST ASSOCIATION, INC.                               ",BOULDER                  ,CO ,KGNU-FM     ,88.5  MHz ,203,DA  ,A  ,LIC    ,BLED   -20100528ADY ,4.     kW ,4.     kW ,65,65,6512,N ,39,59,33,W ,105,9,16,1732.  m,1732.0 m,85935,0,-       ,30.    m,1375392
GRAND VALLEY STATE UNIVERSITY                                               ,ALLENDALE                ,MI ,WGVU-FM     ,88.5  MHz ,203,ND  ,A  ,LIC    ,BLED   -20120522AGA ,4.     kW ,4.     kW ,90,90,4174,N ,43,3,24,W ,85,57,37,291.   m,291.0  m,-         ,-       ,1005720,87.    m,1500558
SOUTHERN CULTURAL FOUNDATION                                                ,PINE RIDGE               ,SD ,KVKR        ,88.7  MHz ,204,ND  ,C3 ,LIC    ,BLED   -20130903AGV ,4.     kW ,4.     kW ,133,133,176132,N ,42,49,47,W ,102,39,8,1279.  m,1279.0 m,-         ,-       ,-       ,45.    m,1570732
EASTERN ILLINOIS UNIVERSITY                                                 ,CHARLESTON               ,IL ,WEIU        ,88.9  MHz ,205,ND  ,B1 ,LIC    ,BLED   -19850617KH  ,4.     kW ,4.     kW ,51,51,18299,N ,39,28,43,W ,88,10,21,256.   m,256.0  m,-         ,-       ,-       ,43.    m,79176
EMERSON COLLEGE                                                             ,BOSTON                   ,MA ,WERS        ,88.9  MHz ,205,ND  ,B1 ,LIC    ,BLED   -19900706KB  ,4.     kW ,4.     kW ,186,186,19482,N ,42,21,8,W ,71,3,25,203.   m,203.0  m,-         ,-       ,1004487,198.   m,150068
LOUISIANA TECH UNIVERSITY                                                   ,RUSTON                   ,LA ,KLPI        ,89.1  MHz ,206,ND  ,A  ,LIC    ,BLED   -19821213AJ  ,4.     kW ,4.     kW ,87,87,38615,N ,32,31,41,W ,92,38,50,161.   m,161.0  m,-         ,-       ,-       ,66.    m,50513
HAMMOCK EDUCATIONAL AND ENVIRONMENTAL COMMUNITY SERVICES                    ,PALM COAST               ,FL ,WNSS        ,89.3  MHz ,207,ND  ,A  ,LIC    ,BLED   -20111216ABW ,4.     kW ,4.     kW ,43,43,175730,N ,29,32,51.8,W ,81,12,32.8,48.    m,48.0   m,-         ,-       ,-       ,42.    m,1485909
"NOSTALGIA ONE PUBLIC RADIO, INC.                                            ",LISBON                   ,NH ,WSSH        ,89.3  MHz ,207,DA  ,A  ,CP     ,BPED   -20140103AJT ,4.     kW ,4.     kW ,82,82,176846,N ,44,13,11,W ,71,52,7,453.   m,453.0  m,117806,0,-       ,38.    m,1625510
CHICAGO PUBLIC MEDIA INC                                                    ,CHESTERTON               ,IN ,WBEW        ,89.5  MHz ,208,DA  ,B1 ,LIC    ,BLED   -20081027AAD ,4.     kW ,4.     kW ,181.9,181.9,3248,N ,41,38,6,W ,87,2,59,380.4  m,380.4  m,89271,0,1264863,176.2  m,1274897
MONTANA STATE UNIVERSITY - BILLINGS                                         ,STANFORD                 ,MT ,KYPF        ,89.5  MHz ,208,ND  ,C1 ,LIC    ,BLED   -20091118AES ,4.     kW ,4.     kW ,576,576,172585,N ,47,10,39,W ,109,32,9,1779.  m,1779.0 m,-         ,-       ,-       ,12.    m,1343353
BILLY RAY LOCKLEAR EVANGELISTIC ASSOCIATION                                 ,LUMBERTON                ,NC ,WLPS-FM     ,89.5  MHz ,208,ND  ,A  ,CP     ,BPED   -20120629ACS ,4.     kW ,4.     kW ,98.2,98.2,91947,N ,34,42,2,W ,79,6,32,143.9  m,143.9  m,-         ,-       ,1036026,95.6   m,1516202
"INTER-CITY CHRISTIAN YOUTH PROGRAM, INC.                                    ",ENCINO                   ,TX ,NEW         ,89.7  MHz ,209,DA  ,C3 ,CP     ,BNPED  -20071019ABS ,4.     kW ,4.     kW ,127,127,173642,N ,26,57,10,W ,98,7,46,163.   m,163.0  m,82050,0,1037509,125.   m,1210105
"MARY'S CHILDREN, INC.                                                       ",ELLETTSVILLE             ,IN ,WOMB        ,89.9  MHz ,210,DA  ,A  ,LIC    ,BLED   -20110802AAI ,4.     kW ,4.     kW ,65,65,172668,N ,39,9,33.7,W ,86,39,18.4,294.   m,294.0  m,99088,0,1277328,11.    m,1436860
REFUGE MEDIA GROUP                                                          ,MARSHALL                 ,MN ,KRGM        ,89.9  MHz ,210,DA  ,C3 ,LIC    ,BLED   -20120316ACF ,4.     kW ,4.     kW ,163,163,173790,N ,44,29,3,W ,95,29,27,493.   m,493.0  m,91301,0,1024180,163.   m,1492012
EDUCATIONAL MEDIA FOUNDATION                                                ,CLARKSBURG               ,WV ,WCKU        ,90.1  MHz ,211,ND  ,B1 ,LIC    ,BLED   -20090603AGE ,4.     kW ,4.     kW ,215,215,39870,N ,39,19,9,W ,80,23,31,568.   m,568.0  m,-         ,-       ,1034307,85.    m,1316082
"FAMILY LIFE MINISTRIES, INC.                                                ",ELMIRA                   ,NY ,WCIH        ,90.3  MHz ,212,ND  ,B1 ,LIC    ,BLED   -20010529ABG ,4.     kW ,4.     kW ,160.5,160.5,20641,N ,41,53,39,W ,76,51,32,650.6  m,650.6  m,-         ,-       ,1003150,56.    m,566403
"UNIVERSITY RADIO FOUNDATION, INC.                                           ",HICKORY                  ,NC ,WFHE        ,90.3  MHz ,212,DA  ,C3 ,LIC    ,BLED   -19951010KI  ,4.     kW ,4.     kW ,127,127,69437,N ,35,50,59,W ,81,26,40,498.   m,498.0  m,14658,0,-       ,145.   m,215186
"CAROLINA CHRISTIAN RADIO, INC.                                              ",WILMINGTON               ,NC ,WWIL-FM     ,90.5  MHz ,213,ND  ,C3 ,LIC    ,BLED   -20130402AAP ,4.     kW ,4.     kW ,189,189,12165,N ,34,14,37,W ,78,7,24,198.   m,198.0  m,-         ,-       ,1024421,183.   m,1549482
"POSITIVE ALTERNATIVE RADIO, INC                                             ",MARTINSVILLE             ,VA ,WPIM        ,90.5  MHz ,213,DA  ,A  ,LIC    ,BLED   -19961115KA  ,4.     kW ,4.     kW ,118,118,40508,N ,36,42,16,W ,79,50,5,395.   m,395.0  m,14695,0,-       ,29.    m,235533
"KANZA SOCIETY, INC.                                                         ",LAMAR                    ,CO ,KCSE        ,90.7  MHz ,214,ND  ,A  ,LIC    ,BLED   -20140929AIN ,4.     kW ,4.     kW ,113,113,175809,N ,38,2,10,W ,102,35,58,1259.  m,1259.0 m,-         ,-       ,1023202,106.   m,1652833
SPRINGFIELD TECHNICAL COMMUNITY COLLEGE                                     ,SPRINGFIELD              ,MA ,WTCC        ,90.7  MHz ,214,ND  ,A  ,LIC    ,BMLED  -20070314ADO ,4.     kW ,4.     kW ,28,28,62018,N ,42,6,32,W ,72,34,45,98.    m,98.0   m,-         ,-       ,-       ,37.    m,1176810
